,0
134,For all #english speaking #expats: here's what you're allowed to do in each of the federal German states during the #CoronaCrisis. Thanks to @del_tongo for translating it. Source: @tazgezwitscher #coronavirus #COVID19 #coronadeutschland
135,"Coronavirus update. Number of cases now 🇺🇸USA: 82,179 (+13,968) 🇮🇹 ltaly: 80,589 (+6153) 🇪🇸 Spain: 56,347 (+6832) 🇩🇪 Germany: 43,646 (+6323) 🇫🇷 France: 29,155 (+3922) 🇨🇭 Switzerland: 11,811 (+914) 🇬🇧 UK: 11,659 (+2129) 8215 deaths in Italy and 4154 in Spain."
136,"A G7 declaration on the Coronavirus is on the brink of collapse because the US insists on using the phrase ""the Wuhan virus"" https://www.spiegel.de/politik/deutschland/streit-um-wuhan-virus-a-6bb570bb-9f2b-4cd1-a895-fdeabf53f6b4 via @derspiegel"
137,Homeoffice Businessanzug. #covid_19DE #coronadeutschland #coronavirus #StayAtHome
138,"A 24x7 #Indian toll free Helpline Number for support, guidance and response to health related queries on #COVID19. #StayAtHome #coronavirus #Corona #CoronaVirusUpdate #coronavirusdeutschland #COVID2019 #Covid_19 #COVIDー19"
139,"'Tip of the iceberg': is our destruction of nature responsible for #COVID19? We invade tropical forests and other wild landscapes, which harbour so many species of animals and plants – and within those creatures, so many unknown viruses https://www.theguardian.com/environment/2020/mar/18/tip-of-the-iceberg-is-our-destruction-of-nature-responsible-for-covid-19-aoe?CMP=Share_AndroidApp_Tweet #coronavirus"
140,Siri never has been good. But atm it shows how pathetically useless it is @Apple 😷🙄 #coronavirus #coronavirusdeutschland
141,"@SkyNews, face masks will do virtually nothing to prevent #coronavirus transfer. Stop selling this idea in your reports and give people proper advice on dealing with their fears. #washyourhands is a good start, #elbowcough is another .."
142,"Snapshot of life in Berlin as public spaces begin to empty out in response to #coronavirus. Merkel's message to the nation to reduce travel, stay at home and practice social distancing is being heeded more by some than others. 🎥 @wnglucroft 📺👉🏽 http://p.dw.com/p/3ZZKF"
143,"Sending out kudos to @SAP and their whole IT (eg @HaraldMonihart @MartinLang) &amp; all the other people I am not able to mention in a single tweet: Even though #coronavirus is limiting a lot our daily life, there are no limitations in terms of remote work at #sap! Just stay healthy!"
144,"Mehmet Altan, brother of Ahmet Altan: “It’s insane that Turkey is going to let murderers back out on the streets (with new Judicial Package) but put the life of a novelist who wrote 3 articles the gov't didn’t like at risk from the coronavirus.” Meclis TahliyeDesin #COVID19"
145,I am so proud of the response by the @Bayer team working on a promising treatment for #COVID19. This team is embodying our purpose of science for a better life.
146,"#COVID2019 Who is it safe to have sex with during the pandemic? How can I use camming, sex toys, and more to keep things interesting? And when will it be safe to resume a normal sex life? #CoronaKrise https://www.them.us/story/sex-and-coronavirus-questions-answered"
147,Wise points by Jacob Wallenberg - the debate about the fallout from the Coronavirus should not be about “business versus life” but about “life versus life” — the economic lockdown has massively detrimental effects on human lives as well. 
148,"An Argentinian doctor gets ready to fight the coronavirus, with his Che Guevara t-shirt underneath his scrubs. ""The life of a single human being is worth more than all the property of the richest man on earth."" - Dr. Ernesto ""Che"" Guevara "
149,Still life. #COVID19 #COVID2019 #Covid_19 #coronavirus #CoronaVirusChallenge #CoronaVirusUpdates #lockdown #StayAtHome #art #contemporaryart #popart #PopCulture #comicstrip #comics #ComicArt #webcomic #Memes #digitalart
150,'You must carry ID': Berlin orders strict coronavirus restrictions on daily life 
151,Good morning dear Twitter friends save your life save your happiness please stay at home maintain distance avoid corona virus infection 
152,"#HappyNowruz #NowruzMubarak to all @UNVolunteers celebrating. During #coronavirus this might be most unusual #Nowruz ever, yet it is also most relevant as an affirmation of life in harmony with nature and an embodiment of mutual respect and good neighborhood"
153,We love to welcome you very soon at the New Museum Schloss Sayn and tell you wonderful tales about 200 years of our most exciting life. The after #coronavirus opening will be announced on http://www.sayn.de #NeuesMuseumSchlossSayn #SaynWittgenstein #sayn #europeanheritage
